path,ref_date,sec_date
150,20071216,20080131
150,20080131,20080317
150,20080317,20080502
150,20080502,20080917
150,20080917,20090202
150,20090202,20090320
150,20090320,20091221
150,20091221,20100323
150,20100323,20100508
150,20100508,20100623
150,20100623,20100808
150,20100808,20100923
150,20100923,20101108
150,20101108,20101224
150,20101224,20110208
